"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"109",1000,500,50,0.4,1,0.409,0.901,47.9491,53.129,59.3237,0.42556,0.4608495,0.493679,1.00471598489321,1.0004271723916,15000,5000,20,500
"110",1000,500,50,0.4,1,0.401,0.907,44.4253,49.6133,55.2568,0.407656,0.441544,0.475028,1.00892193977813,1.00444513208057,15000,5000,20,500
"111",1000,500,50,0.4,1,0.379,0.905,48.6023,54.82585,61.2617,0.386603,0.4239755,0.455751,1.00251160994064,1.00081916557944,15000,5000,20,500
"112",1000,500,50,0.4,1,0.363,0.896,44.9026,50.224,56.7958,0.372942,0.4064935,0.439118,1.00143569678032,1.00239991800804,15000,5000,20,500
"113",1000,500,50,0.4,1,0.371,0.9,45.0244,50.57225,56.8735,0.381347,0.4121695,0.446538,1.00588849889211,1.00039257085253,15000,5000,20,500
"114",1000,500,50,0.4,1,0.369,0.9,46.5281,52.56255,58.8308,0.377996,0.4114865,0.443827,1.00042716886584,0.999637905707072,15000,5000,20,500
"115",1000,500,50,0.4,1,0.381,0.909,45.424,50.7281,57.3587,0.38948,0.4232265,0.457302,1.00112592452573,0.999986989898789,15000,5000,20,500
"116",1000,500,50,0.4,1,0.347,0.912,43.218,49.16965,55.1832,0.351803,0.3834905,0.416392,0.999291663591433,1.00151567445132,15000,5000,20,500
"117",1000,500,50,0.4,1,0.374,0.903,42.4829,47.5353,52.9516,0.380556,0.4127485,0.446209,1.00050551700421,1.00055486174127,15000,5000,20,500
"118",1000,500,50,0.4,1,0.379,0.909,45.5769,51.5644,57.2782,0.390732,0.4226215,0.455854,1.00156918256006,0.999913075015657,15000,5000,20,500
"119",1000,500,50,0.4,1,0.393,0.919,44.0307,49.19075,55.0646,0.399539,0.4333995,0.466822,1.00210500698175,1.00004650883239,15000,5000,20,500
"120",1000,500,50,0.4,1,0.364,0.899,44.7765,50.23045,56.3406,0.370988,0.405554,0.437486,0.999639015349643,1.00051724952504,15000,5000,20,500
"121",1000,500,50,0.4,1,0.361,0.893,45.9234,51.5505,57.9402,0.370243,0.403771,0.436446,1.00020584771046,0.999693577810483,15000,5000,20,500
"122",1000,500,50,0.4,1,0.383,0.901,44.7525,49.7742,56.0212,0.392753,0.424523,0.457109,1.00705102391967,1.00011049587665,15000,5000,20,500
"123",1000,500,50,0.4,1,0.362,0.898,44.9804,50.33165,56.3754,0.37064,0.4025695,0.438362,1.00367779050132,1.00359518956825,15000,5000,20,500
"124",1000,500,50,0.4,1,0.401,0.895,46.1523,51.3239,57.7577,0.416844,0.450513,0.481894,1.00078291087516,1.0004576906401,15000,5000,20,500
"125",1000,500,50,0.4,1,0.383,0.902,40.7235,46.1711,51.3063,0.385386,0.4178605,0.450372,0.999256529942059,1.00125496275992,15000,5000,20,500
"126",1000,500,50,0.4,1,0.377,0.915,41.4096,46.30115,51.8303,0.382967,0.4146185,0.450797,1.00084168875669,1.00330302529335,15000,5000,20,500
"127",1000,500,50,0.4,1,0.366,0.896,43.5827,49.3308,54.747,0.375652,0.4069185,0.440066,1.00549711365385,1.00131120472987,15000,5000,20,500
"128",1000,500,50,0.4,1,0.376,0.898,46.2123,51.14905,57.8465,0.38816,0.418143,0.456426,1.00263345118274,1.0017616834141,15000,5000,20,500
"129",1000,500,50,0.4,1,0.367,0.911,42.4535,47.2297,52.9896,0.371586,0.404685,0.435865,1.00133500218397,1.00016620656962,15000,5000,20,500
"130",1000,500,50,0.4,1,0.352,0.889,44.0363,49.49485,55.6484,0.361399,0.392424,0.426357,1.00280879000684,0.999453613429195,15000,5000,20,500
"131",1000,500,50,0.4,1,0.393,0.903,46.6575,52.6132,59.0887,0.410057,0.4435765,0.476979,1.00177400248592,1.00304920392771,15000,5000,20,500
"132",1000,500,50,0.4,1,0.373,0.908,40.2504,44.5347,49.968,0.38126,0.413552,0.446751,0.999405696266063,0.999828822077269,15000,5000,20,500
"133",1000,500,50,0.4,1,0.374,0.895,44.9933,50.64785,56.5972,0.382206,0.4154045,0.449819,1.00026946590977,0.999837056849245,15000,5000,20,500
"134",1000,500,50,0.4,1,0.361,0.908,45.812,51.4767,57.8938,0.371599,0.404493,0.437134,1.00296778170657,1.00006955913518,15000,5000,20,500
"135",1000,500,50,0.4,1,0.374,0.88,42.9887,48.0502,54.042,0.382378,0.4153955,0.448456,1.00081019187053,1.00231030285446,15000,5000,20,500
"136",1000,500,50,0.4,1,0.403,0.897,47.6693,53.30015,59.0148,0.422088,0.4549375,0.489814,1.00009602060037,1.00038375534169,15000,5000,20,500
"137",1000,500,50,0.4,1,0.395,0.912,48.919,54.71995,61.6356,0.403925,0.4396965,0.471627,1.00015787886372,1.00262715367988,15000,5000,20,500
"138",1000,500,50,0.4,1,0.362,0.902,46.8771,52.5837,58.8339,0.37477,0.4065355,0.439763,1.00922554140713,1.00067091860273,15000,5000,20,500
"139",1000,500,50,0.4,1,0.372,0.887,45.8634,52.00675,58.408,0.384994,0.4181765,0.452743,1.00337131405185,1.00459234663787,15000,5000,20,500
"140",1000,500,50,0.4,1,0.352,0.912,45.8341,52.5017,59.0365,0.361359,0.391722,0.424942,1.00348849424129,0.999363070966025,15000,5000,20,500
"141",1000,500,50,0.4,1,0.399,0.895,49.7295,55.7617,62.6503,0.420464,0.4530425,0.488168,0.999720460880823,1.00130827247258,15000,5000,20,500
"142",1000,500,50,0.4,1,0.374,0.907,44.4136,49.87965,55.5394,0.381415,0.4149845,0.446267,1.00140364567535,1.00151858846449,15000,5000,20,500
