"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"138",500,500,0.4,188.214099358302,0.272,0.666,94.5144,111.7115,132.352,1.00058369369232,15000,5000,20,500
"139",500,500,0.4,155.530534158461,0.276,0.684,88.6045,105.2595,124.814,1.00278250763668,15000,5000,20,500
"140",500,500,0.4,280.527048939839,0.182,0.506,96.1411,121.6935,146.913,1.00287232611511,15000,5000,20,500
"141",500,500,0.4,171.684850992169,0.296,0.664,87.0793,102.1295,119.783,1.00013385421743,15000,5000,20,500
"142",500,500,0.4,247.029163481202,0.216,0.566,114.706,140.453,166.701,1.00052787779734,15000,5000,20,500
"143",500,500,0.4,17.2067867405713,0.418,0.974,15.6251,17.9656,20.4976,1.00192187098535,15000,5000,20,500
"144",500,500,0.4,175.897883493453,0.262,0.654,95.0855,111.17,133.16,1.00248629565856,15000,5000,20,500
"145",500,500,0.4,132.038066876121,0.3,0.778,81.2502,96.05935,112.493,1.00301540844105,15000,5000,20,500
"146",500,500,0.4,286.842072475702,0.192,0.546,90.678,110.899,135.065,0.999163219436438,15000,5000,20,500
"147",500,500,0.4,276.970582653303,0.224,0.56,87.2919,105.651,126.009,1.00017815476913,15000,5000,20,500
"148",500,500,0.4,64.3475048872642,0.326,0.896,45.3489,52.95095,62.0058,1.00308048676599,15000,5000,20,500
"149",500,500,0.4,48.8066255045123,0.382,0.914,37.2279,43.0466,49.2081,1.00059316588888,15000,5000,20,500
"150",500,500,0.4,199.633833186235,0.294,0.692,88.4725,105.324,123.054,0.999578663568367,15000,5000,20,500
"151",500,500,0.4,90.0703013688326,0.328,0.836,63.0033,74.75745,86.3977,1.00065562048413,15000,5000,20,500
"152",500,500,0.4,131.606903206557,0.298,0.716,74.8579,88.4616,103.307,1.00062174373326,15000,5000,20,500
"153",500,500,0.4,144.885998109821,0.29,0.71,85.0527,98.01285,116.899,1.00564129721928,15000,5000,20,500
"154",500,500,0.4,269.051636713557,0.236,0.56,111.548,133.879,160.971,0.999201360169984,15000,5000,20,500
"155",500,500,0.4,52.7648818492889,0.322,0.884,41.889,48.57265,56.7806,1.00019653529955,15000,5000,20,500
"156",500,500,0.4,241.201688416768,0.202,0.544,84.0928,104.2615,126.123,1.00346224292446,15000,5000,20,500
"157",500,500,0.4,116.010023485869,0.322,0.754,69.6481,81.12015,93.9576,1.00300502324135,15000,5000,20,500
"158",500,500,0.4,209.587786335032,0.25,0.61,97.4112,117.5125,138.809,1.00087098002966,15000,5000,20,500
"159",500,500,0.4,258.534234054387,0.222,0.54,110.223,133.188,158.566,1.00347126797949,15000,5000,20,500
"160",500,500,0.4,246.616850292776,0.194,0.56,85.4911,104.5325,127.698,1.0003278858416,15000,5000,20,500
"161",500,500,0.4,44.7012693039142,0.384,0.924,36.6894,43.25415,49.3053,1.00119657933346,15000,5000,20,500
"162",500,500,0.4,290.690012858249,0.202,0.522,105.49,127.729,153.42,1.00041435797099,15000,5000,20,500
"163",500,500,0.4,15.4540354735218,0.354,0.976,13.9996,16.10645,18.6589,0.99955846269049,15000,5000,20,500
"164",500,500,0.4,85.4960560938343,0.352,0.85,54.8312,63.5596,73.3634,1.0041593798143,15000,5000,20,500
"165",500,500,0.4,51.6693121148273,0.404,0.896,39.0506,45.14105,51.5146,1.00199189703366,15000,5000,20,500
"166",500,500,0.4,161.387147794012,0.292,0.706,82.5429,98.11075,112.788,0.999468472699888,15000,5000,20,500
"167",500,500,0.4,104.697148145642,0.324,0.806,64.1799,75.53135,87.7533,1.00079338143384,15000,5000,20,500
"168",500,500,0.4,269.539957758971,0.244,0.568,105.339,125.2435,150.427,1.00174664450225,15000,5000,20,500
"169",500,500,0.4,72.4800544348545,0.342,0.862,52.2327,60.16225,70.4544,0.999688500040408,15000,5000,20,500
"170",500,500,0.4,37.2617623745464,0.356,0.92,27.4984,31.8545,36.6459,1.00049106084409,15000,5000,20,500
"171",500,500,0.4,290.895435770508,0.212,0.516,107.916,131.936,157.945,1.00008837853662,15000,5000,20,500
"172",500,500,0.4,194.249355704524,0.274,0.67,84.2335,100.013,116.872,1.00372622766277,15000,5000,20,500
"173",500,500,0.4,144.44681734778,0.29,0.702,76.4838,90.3641,106.226,1.00007209895688,15000,5000,20,500
"174",500,500,0.4,166.797824527603,0.278,0.67,78.4964,92.534,109.69,1.00087628142003,15000,5000,20,500
"175",500,500,0.4,253.644300613087,0.22,0.562,95.5333,114.969,140.029,0.999331936479679,15000,5000,20,500
"176",500,500,0.4,60.9436007612385,0.346,0.87,41.3358,48.0354,55.783,1.00189462354544,15000,5000,20,500
"177",500,500,0.4,202.023963055108,0.252,0.628,81.8541,96.8483,116.861,1.00020098763536,15000,5000,20,500
"178",500,500,0.4,63.9633239386603,0.338,0.888,51.958,61.0421,70.878,0.999423195899647,15000,5000,20,500
"179",500,500,0.4,156.916070585139,0.314,0.684,80.187,93.0331,108.715,1.00193226351235,15000,5000,20,500
"180",500,500,0.4,231.690119828563,0.23,0.568,100.649,120.5675,143.263,1.00234224478285,15000,5000,20,500
"181",500,500,0.4,21.6433482174762,0.396,0.958,17.5818,20.4577,23.4325,0.99936936094941,15000,5000,20,500
"182",500,500,0.4,267.317855034489,0.214,0.56,94.4105,113.831,136.757,0.999828324766182,15000,5000,20,500
"183",500,500,0.4,181.021780183073,0.262,0.638,89.9949,105.521,125.708,1.00361667399377,15000,5000,20,500
"184",500,500,0.4,289.81807581149,0.222,0.548,102.009,125.4985,148.033,1.00060657973372,15000,5000,20,500
"185",500,500,0.4,195.677104839124,0.246,0.67,87.8178,104.6195,123.203,1.00234861801085,15000,5000,20,500
"186",500,500,0.4,127.185183495749,0.316,0.742,72.852,85.9483,99.1542,1.00173293926085,15000,5000,20,500
"187",500,500,0.4,112.30646564858,0.306,0.78,70.2343,83.0825,96.8061,1.00184459585882,15000,5000,20,500
"188",500,500,0.4,82.8169900365174,0.34,0.84,56.7909,66.1587,76.5401,1.00020322836547,15000,5000,20,500
"189",500,500,0.4,257.356207070407,0.232,0.59,100.777,122.4665,145.965,1.00036458102603,15000,5000,20,500
"190",500,500,0.4,206.653504830319,0.268,0.62,81.4766,96.77205,114.093,1.00055563734916,15000,5000,20,500
"191",500,500,0.4,268.349870329257,0.206,0.532,90.4075,111.109,132.39,1.0006953300587,15000,5000,20,500
"192",500,500,0.4,120.925475365948,0.32,0.776,70.3078,81.09825,94.7393,1.0003813694815,15000,5000,20,500
"193",500,500,0.4,189.424500784371,0.268,0.624,90.5888,108.1975,127.4,1.00100365835315,15000,5000,20,500
"194",500,500,0.4,165.656078204047,0.28,0.698,73.6013,88.26515,103.531,1.00082265660693,15000,5000,20,500
"195",500,500,0.4,119.837795109488,0.358,0.782,81.4397,95.4959,109.796,1.00145844667627,15000,5000,20,500
"196",500,500,0.4,146.103612252045,0.3,0.716,81.4052,94.79675,110.899,1.00279808150374,15000,5000,20,500
"197",500,500,0.4,279.628534456715,0.222,0.522,90.0156,109.4085,130.102,1.00255708933809,15000,5000,20,500
"198",500,500,0.4,191.571493612137,0.256,0.648,85.6689,102.87,121.284,0.999997155567197,15000,5000,20,500
"199",500,500,0.4,93.1296319607645,0.318,0.846,54.3213,63.35345,74.0766,1.0004058900219,15000,5000,20,500
"200",500,500,0.4,82.450344262179,0.32,0.858,53.6046,63.38735,73.3161,1.00246671685302,15000,5000,20,500
"201",1000,500,0.4,272.954913028516,0.215,0.556,98.8955,113.802,128.82,0.999292100260677,15000,5000,20,500
"202",1000,500,0.4,255.745612522587,0.225,0.549,101.816,117.5435,133.333,0.999879579463704,15000,5000,20,500
"203",1000,500,0.4,205.912293689325,0.232,0.629,100.401,113.7435,128.976,0.999974587618012,15000,5000,20,500
"204",1000,500,0.4,177.168957365211,0.26,0.67,93.9212,104.3895,118.021,1.00008059761515,15000,5000,20,500
"205",1000,500,0.4,115.237327490468,0.324,0.767,75.9192,84.2095,93.9177,1.00116986818305,15000,5000,20,500
"206",1000,500,0.4,285.695593680721,0.227,0.527,97.9241,111.4205,125.807,1.00032377754476,15000,5000,20,500
"207",1000,500,0.4,258.711065517273,0.239,0.567,102.222,116.124,131.549,1.00375193850618,15000,5000,20,500
"208",1000,500,0.4,129.866212790366,0.31,0.739,78.2606,87.6576,97.7672,1.00099626403288,15000,5000,20,500
"209",1000,500,0.4,37.5329501577653,0.37,0.914,31.8373,35.02175,38.6825,0.999912025396651,15000,5000,20,500
"210",1000,500,0.4,260.548257797491,0.224,0.561,106.973,122.233,137.771,1.00095107243132,15000,5000,20,500
"211",1000,500,0.4,239.463010730688,0.247,0.592,100.508,116.4775,130.74,1.00107725630757,15000,5000,20,500
"212",1000,500,0.4,33.7859763903543,0.35,0.922,28.2183,31.7687,34.921,1.00148824513671,15000,5000,20,500
"213",1000,500,0.4,47.2516302880831,0.386,0.905,39.8092,43.7259,48.3757,1.00186814810041,15000,5000,20,500
"214",1000,500,0.4,165.449739235919,0.284,0.68,94.7535,106.4135,119.13,1.00004099636445,15000,5000,20,500
"215",1000,500,0.4,66.5242613269947,0.347,0.858,51.7043,57.9903,64.0233,1.0006869482631,15000,5000,20,500
"216",1000,500,0.4,158.629378648475,0.273,0.668,88.1864,100.1185,111.356,0.999317717765099,15000,5000,20,500
"217",1000,500,0.4,75.9479312924668,0.325,0.837,57.0751,63.88185,70.6815,0.999986936831214,15000,5000,20,500
"218",1000,500,0.4,297.752282754518,0.225,0.518,108.267,124.129,140.305,1.0016312888626,15000,5000,20,500
"219",1000,500,0.4,74.7738650836982,0.354,0.853,52.4978,58.31555,64.9147,1.00318082905206,15000,5000,20,500
"220",1000,500,0.4,18.3358519664034,0.398,0.967,15.5828,17.2327,18.8958,1.00148825893047,15000,5000,20,500
