"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"147",1000,500,50,0.4,1,0.374,0.883,43.6973,48.38725,54.7075,1.00152940664719,15000,5000,20,500
"148",1000,500,50,0.4,1,0.379,0.901,44.6489,50.61705,56.3298,1.00257000820156,15000,5000,20,500
"149",1000,500,50,0.4,1,0.372,0.897,41.7801,47.06725,52.7381,1.00153325909704,15000,5000,20,500
"150",1000,500,50,0.4,1,0.375,0.903,42.8015,47.88065,53.7842,1.00000134787669,15000,5000,20,500
"151",100,1000,50,0.4,1,0.35,0.92,30.6136,44.05145,61.0355,1.00187294703272,15000,5000,20,500
"152",100,1000,50,0.4,1,0.39,0.94,31.2533,42.98245,59.6737,1.00014837711729,15000,5000,20,500
"153",100,1000,50,0.4,1,0.38,0.93,28.8566,42.34655,56.715,0.999158513103114,15000,5000,20,500
"154",100,1000,50,0.4,1,0.34,0.93,35.0188,51.6843,71.7284,1.00635073851339,15000,5000,20,500
"155",100,1000,50,0.4,1,0.31,0.98,35.5358,52.9749,75.0876,1.00227835184793,15000,5000,20,500
"156",100,1000,50,0.4,1,0.38,0.98,30.2406,42.00765,59.6984,0.999901146885376,15000,5000,20,500
"157",100,1000,50,0.4,1,0.47,0.97,34.5324,48.01175,62.8099,0.999696617165499,15000,5000,20,500
"158",100,1000,50,0.4,1,0.34,0.96,26.4498,39.37955,53.9454,1.0013192608874,15000,5000,20,500
"159",100,1000,50,0.4,1,0.4,0.98,41.8162,59.70575,80.3848,1.00050774009856,15000,5000,20,500
"160",100,1000,50,0.4,1,0.4,0.93,31.6036,45.2868,61.1119,1.0044696849177,15000,5000,20,500
"161",100,1000,50,0.4,1,0.31,0.97,27.4362,40.6229,58.1633,1.00155069078403,15000,5000,20,500
"162",100,1000,50,0.4,1,0.39,0.91,39.4328,57.32485,77.151,1.00062231767707,15000,5000,20,500
"163",100,1000,50,0.4,1,0.3,0.94,38.0893,55.70785,80.2257,1.00156877652843,15000,5000,20,500
"164",100,1000,50,0.4,1,0.43,0.96,27.2096,37.6091,51.8818,1.00080938401798,15000,5000,20,500
"165",100,1000,50,0.4,1,0.42,0.94,30.5247,42.65575,57.632,0.999591133695203,15000,5000,20,500
"166",100,1000,50,0.4,1,0.38,0.95,38.2775,54.8211,75.2687,1.00212520764003,15000,5000,20,500
"167",100,1000,50,0.4,1,0.39,0.97,35.6066,52.10285,69.9875,1.00137567441038,15000,5000,20,500
"168",100,1000,50,0.4,1,0.3,0.94,36.839,54.4012,81.7756,1.00010388899273,15000,5000,20,500
"169",100,1000,50,0.4,1,0.33,0.92,27.807,41.3876,57.488,1.00330920192237,15000,5000,20,500
"170",100,1000,50,0.4,1,0.49,0.94,42.3857,57.7249,76.4804,1.00123373520029,15000,5000,20,500
"171",100,1000,50,0.4,1,0.42,0.93,33.1661,44.82155,62.5921,1.00220242908302,15000,5000,20,500
