"","N","LEN","SIGMA","PHI","SIGMA.PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","R_hat_sigma","MCMCiter","Burn_in","N_thin","N_sample"
"173",100,1000,50,0.4,1,0.38,0.99,31.7149,40.3409,50.8159,1.00070279494956,15000,5000,20,500
"174",100,1000,50,0.4,1,0.44,0.97,36.6474,44.7608,55.5643,1.00041192987698,15000,5000,20,500
"175",100,1000,50,0.4,1,0.4,0.92,39.9701,50.59815,63.3809,0.999633483555948,15000,5000,20,500
"176",100,1000,50,0.4,1,0.42,0.91,40.867,51.4788,64.119,0.999403174362461,15000,5000,20,500
"177",100,1000,50,0.4,1,0.41,0.98,37.5593,47.37865,59.2488,0.99922660026503,15000,5000,20,500
"178",100,1000,50,0.4,1,0.4,0.95,35.7946,44.9288,57.9301,1.00019781387714,15000,5000,20,500
"179",100,1000,50,0.4,1,0.31,0.98,47.4089,65.3788,85.13,1.00004269715631,15000,5000,20,500
"180",100,1000,50,0.4,1,0.38,0.94,48.9328,61.9449,79.4089,1.00259506151023,15000,5000,20,500
"181",100,1000,50,0.4,1,0.36,0.97,33.8256,43.16665,54.5472,1.00019203471094,15000,5000,20,500
"182",100,1000,50,0.4,1,0.41,0.95,48.4651,63.1406,78.7708,1.00229775779335,15000,5000,20,500
"183",100,1000,50,0.4,1,0.37,1,34.2316,44.5661,56.0495,1.00147064333526,15000,5000,20,500
"184",100,1000,50,0.4,1,0.35,0.96,31.0302,40.0842,51.1247,1.0064858079793,15000,5000,20,500
"185",100,1000,50,0.4,1,0.35,0.93,43.3462,55.5586,72.0028,1.00021321131793,15000,5000,20,500
"186",100,1000,50,0.4,1,0.48,0.96,40.4418,50.04705,61.7418,1.00098957903027,15000,5000,20,500
"187",100,1000,50,0.4,1,0.36,0.95,43.0282,55.38215,70.4489,1.00182859756768,15000,5000,20,500
"188",100,1000,50,0.4,1,0.35,0.93,34.964,45.6035,57.7847,1.00015024963673,15000,5000,20,500
"189",100,1000,50,0.4,1,0.39,0.98,42.1386,53.23725,66.6323,0.999205551588019,15000,5000,20,500
"190",100,1000,50,0.4,1,0.41,0.95,37.6442,47.54065,58.8965,0.999868468161522,15000,5000,20,500
"191",100,1000,50,0.4,1,0.41,0.95,39.1571,47.6503,61.5092,1.00140375501707,15000,5000,20,500
"192",100,1000,50,0.4,1,0.31,0.99,37.7003,50.9563,65.6908,1.00244338015462,15000,5000,20,500
"193",100,1000,50,0.4,1,0.38,0.96,43.2781,56.5264,69.7076,1.00136252144107,15000,5000,20,500
"194",100,1000,50,0.4,1,0.29,0.96,42.6029,55.643,73.7831,1.00171697330747,15000,5000,20,500
"195",100,1000,50,0.4,1,0.49,0.97,42.5683,51.6276,63.3826,1.00088448931837,15000,5000,20,500
"196",100,1000,50,0.4,1,0.35,0.97,44.0371,56.16565,71.1241,1.00133009864015,15000,5000,20,500
"197",100,1000,50,0.4,1,0.4,0.99,29.2806,36.9501,46.1856,1.0004597072632,15000,5000,20,500
"198",100,1000,50,0.4,1,0.45,0.95,37.9874,46.36205,58.2583,1.00099299210587,15000,5000,20,500
"199",100,1000,50,0.4,1,0.36,0.98,37.8139,50.2317,64.3036,1.00359892648438,15000,5000,20,500
"200",100,1000,50,0.4,1,0.32,0.97,43.3072,58.0032,73.0407,0.999182496674622,15000,5000,20,500
"201",500,1000,50,0.4,1,0.406,0.962,47.016,51.8684,57.2932,1.00342905897428,15000,5000,20,500
"202",500,1000,50,0.4,1,0.394,0.962,45.4415,50.44935,55.9866,1.00101801585615,15000,5000,20,500
"203",500,1000,50,0.4,1,0.424,0.96,45.4234,49.843,55.3099,1.00010383822097,15000,5000,20,500
"204",500,1000,50,0.4,1,0.384,0.96,45.0773,49.6451,55.6128,1.00022656478999,15000,5000,20,500
"205",500,1000,50,0.4,1,0.396,0.976,47.754,52.9573,58.2577,0.999241289152699,15000,5000,20,500
"206",500,1000,50,0.4,1,0.346,0.944,44.7636,49.88985,55.8059,1.00005380489341,15000,5000,20,500
"207",500,1000,50,0.4,1,0.428,0.954,50.8334,56.02515,61.5944,0.999549461977532,15000,5000,20,500
"208",500,1000,50,0.4,1,0.414,0.97,49.5309,55.31945,60.6012,0.99984091657474,15000,5000,20,500
"209",500,1000,50,0.4,1,0.404,0.958,46.1627,50.8926,56.398,0.999312457888701,15000,5000,20,500
"210",500,1000,50,0.4,1,0.388,0.958,46.7671,51.9171,57.0287,1.00125421945531,15000,5000,20,500
"211",500,1000,50,0.4,1,0.406,0.956,44.1058,48.85715,53.7287,1.00034205320683,15000,5000,20,500
"212",500,1000,50,0.4,1,0.388,0.968,45.3398,50.2419,55.3059,1.00054484560372,15000,5000,20,500
"213",500,1000,50,0.4,1,0.414,0.968,43.4703,48.69945,53.4147,1.00087249018198,15000,5000,20,500
"214",500,1000,50,0.4,1,0.4,0.948,42.8953,47.60805,52.4428,0.999649425197193,15000,5000,20,500
"215",500,1000,50,0.4,1,0.45,0.97,45.6447,50.68315,55.5743,1.00247465379396,15000,5000,20,500
"216",500,1000,50,0.4,1,0.41,0.976,44.3893,48.5788,53.9586,1.00212039056182,15000,5000,20,500
"217",500,1000,50,0.4,1,0.382,0.954,42.7229,47.4298,52.6144,0.99968163773391,15000,5000,20,500
"218",500,1000,50,0.4,1,0.412,0.954,43.3644,47.92975,52.9704,0.999829370088733,15000,5000,20,500
"219",500,1000,50,0.4,1,0.404,0.964,44.9946,50.1648,54.8667,1.00325841219704,15000,5000,20,500
"220",500,1000,50,0.4,1,0.416,0.966,48.3193,53.45945,59.3061,1.00095804136198,15000,5000,20,500
"221",500,1000,50,0.4,1,0.418,0.958,46.1798,51.0867,56.3704,1.00074334430477,15000,5000,20,500
"222",500,1000,50,0.4,1,0.402,0.968,45.672,50.38655,55.466,1.00025630317638,15000,5000,20,500
"223",500,1000,50,0.4,1,0.384,0.956,46.4853,51.768,57.0925,1.00009226899022,15000,5000,20,500
"224",500,1000,50,0.4,1,0.358,0.958,45.2266,50.68755,56.0956,1.00519983765523,15000,5000,20,500
"225",500,1000,50,0.4,1,0.412,0.942,42.9408,47.4259,52.4544,1.00099723470827,15000,5000,20,500
"226",500,1000,50,0.4,1,0.408,0.954,41.8312,45.9351,51.1333,1.00063442684097,15000,5000,20,500
"227",500,1000,50,0.4,1,0.364,0.966,43.1997,48.36655,53.2634,1.00038687704753,15000,5000,20,500
"228",500,1000,50,0.4,1,0.388,0.962,43.8901,48.5849,53.8239,1.00318861972958,15000,5000,20,500
"229",500,1000,50,0.4,1,0.38,0.97,42.0204,46.32,51.5264,1.00519037067732,15000,5000,20,500
"230",500,1000,50,0.4,1,0.446,0.968,45.0033,49.0482,54.253,1.00102265322132,15000,5000,20,500
"231",500,1000,50,0.4,1,0.398,0.956,46.2145,50.56775,56.4535,0.999728029425771,15000,5000,20,500
"232",500,1000,50,0.4,1,0.406,0.964,44.1121,48.68245,53.5739,1.0032068146794,15000,5000,20,500
"233",500,1000,50,0.4,1,0.384,0.95,41.8647,46.7415,51.5908,1.00248263454199,15000,5000,20,500
"234",500,1000,50,0.4,1,0.408,0.962,47.1912,52.25665,57.845,1.00146623278493,15000,5000,20,500
"235",500,1000,50,0.4,1,0.424,0.978,44.4513,48.93975,53.8739,0.999150222499615,15000,5000,20,500
"236",500,1000,50,0.4,1,0.42,0.974,48.7067,53.8558,59.4034,1.0006139745367,15000,5000,20,500
"237",500,1000,50,0.4,1,0.444,0.97,46.0361,51.006,55.9598,1.00107009628498,15000,5000,20,500
"238",500,1000,50,0.4,1,0.406,0.972,44.6825,49.15,54.0823,1.00118486221934,15000,5000,20,500
"239",500,1000,50,0.4,1,0.406,0.974,44.2407,48.79025,54.1761,1.00056164105931,15000,5000,20,500
"240",500,1000,50,0.4,1,0.398,0.95,41.5429,46.03775,50.7881,1.00242392361417,15000,5000,20,500
