"","N","LEN","SIGMA","PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","phi_lower","phi_med","phi_upper","R_hat_sigma","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"123",1000,500,50,0.4,0.393,0.917,46.4917,50.3513,54.2985,0.397483,0.4296085,0.464058,1.00118737278284,0.999374664021079,15000,5000,20,500
"124",1000,500,50,0.4,0.336,0.923,44.3756,48.0731,52.1603,0.333329,0.365779,0.395728,0.99950559611997,1.00090929364496,15000,5000,20,500
"125",1000,500,50,0.4,0.373,0.905,44.7831,48.24725,52.225,0.379539,0.4109875,0.443309,1.00073910759169,1.00244520280729,15000,5000,20,500
"126",1000,500,50,0.4,0.387,0.918,48.9479,52.7594,56.9391,0.393964,0.42432,0.457653,1.00072395849691,0.99941903239409,15000,5000,20,500
"127",1000,500,50,0.4,0.383,0.934,46.707,51.1182,54.5864,0.38386,0.4154725,0.448869,1.0028295801755,1.00209425784823,15000,5000,20,500
"128",1000,500,50,0.4,0.363,0.913,45.4314,49.3518,53.0102,0.364997,0.396854,0.429313,0.999516786444816,1.0003484988181,15000,5000,20,500
"129",1000,500,50,0.4,0.354,0.932,43.0955,46.79745,50.4942,0.349091,0.38283,0.412576,0.999308933128775,1.00033604736768,15000,5000,20,500
"130",1000,500,50,0.4,0.378,0.922,45.9275,49.5977,53.5056,0.375264,0.406367,0.439412,1.00282257871871,1.00060179658543,15000,5000,20,500
"131",1000,500,50,0.4,0.385,0.928,45.9581,49.73885,53.5915,0.386491,0.4176125,0.448123,1.00025083229202,1.00189012728759,15000,5000,20,500
"132",1000,500,50,0.4,0.357,0.933,45.0999,49.1548,52.9108,0.357124,0.3876585,0.418781,1.00439209248855,0.999242406094876,15000,5000,20,500
"133",1000,500,50,0.4,0.382,0.922,45.5048,49.2145,53.3411,0.386402,0.417638,0.452958,1.00024252137641,1.00075165950153,15000,5000,20,500
"134",1000,500,50,0.4,0.377,0.933,46.9171,50.7707,54.6013,0.376099,0.408503,0.441215,0.999561777930278,1.00270033476912,15000,5000,20,500
"135",1000,500,50,0.4,0.37,0.917,47.3339,50.9437,55.2638,0.370767,0.404201,0.434457,1.00151223249148,1.00136202929899,15000,5000,20,500
"136",1000,500,50,0.4,0.361,0.924,47.9141,51.65605,55.768,0.358594,0.392957,0.424399,1.003829145354,1.00050340125668,15000,5000,20,500
"137",1000,500,50,0.4,0.361,0.916,48.2258,52.51315,56.8301,0.359715,0.3920025,0.425937,0.99994561528655,1.00095856858768,15000,5000,20,500
"138",1000,500,50,0.4,0.395,0.926,47.8956,51.75215,55.4692,0.397006,0.4278875,0.459683,0.999117887926417,1.00095519176225,15000,5000,20,500
"139",1000,500,50,0.4,0.394,0.928,45.2432,48.7328,52.6034,0.393166,0.42606,0.458907,1.00053494545105,1.00251437971224,15000,5000,20,500
"140",1000,500,50,0.4,0.361,0.921,48.1389,52.0514,56.234,0.362246,0.3939675,0.427454,0.999621076881867,0.999719083523332,15000,5000,20,500
"141",1000,500,50,0.4,0.356,0.936,49.9318,53.79975,58.181,0.356944,0.3903085,0.422645,1.00041005496972,1.00064641742196,15000,5000,20,500
"142",1000,500,50,0.4,0.374,0.909,47.6286,51.2805,55.2451,0.372927,0.404493,0.43847,0.999461032572764,0.999388902575644,15000,5000,20,500
"143",1000,500,50,0.4,0.366,0.936,48.0792,51.7004,56.0411,0.36241,0.395876,0.427864,1.00384219569829,1.00159879808109,15000,5000,20,500
"144",1000,500,50,0.4,0.388,0.916,46.5843,49.9613,53.7996,0.392121,0.4222875,0.453551,1.00047407273187,0.999976670736906,15000,5000,20,500
"145",1000,500,50,0.4,0.393,0.93,49.9884,54.2413,57.898,0.395711,0.4290125,0.458365,0.999942184396726,1.00080091251399,15000,5000,20,500
"146",1000,500,50,0.4,0.383,0.925,44.7527,48.12335,52.1528,0.378031,0.4126425,0.447089,1.00472777444889,1.0001725359755,15000,5000,20,500
"147",1000,500,50,0.4,0.366,0.904,45.3949,48.85775,52.7267,0.368187,0.3979245,0.430961,1.00001487330247,0.999127435993829,15000,5000,20,500
"148",1000,500,50,0.4,0.342,0.923,45.481,49.07925,53.0975,0.336806,0.369629,0.400224,0.999472316638132,1.00005410639405,15000,5000,20,500
"149",1000,500,50,0.4,0.402,0.93,45.985,49.46735,53.2938,0.40038,0.432063,0.466059,1.00181799904101,1.00105448729515,15000,5000,20,500
"150",1000,500,50,0.4,0.373,0.919,45.9565,49.7375,53.6546,0.370703,0.4041175,0.436555,1.00012983805599,1.00038146282097,15000,5000,20,500
"151",100,1000,50,0.4,0.38,1,36.6132,46.2545,59.2367,0.303362,0.395058,0.499311,0.999706967119486,1.00299828552501,15000,5000,20,500
"152",100,1000,50,0.4,0.42,0.96,46.6584,59.61215,73.4059,0.352878,0.445247,0.54761,1.00054477716413,1.00019071878442,15000,5000,20,500
"153",100,1000,50,0.4,0.41,0.96,39.8999,50.5393,61.9377,0.331513,0.4226595,0.525173,1.00032967527755,1.0034064491819,15000,5000,20,500
"154",100,1000,50,0.4,0.39,0.96,33.5807,41.8775,53.0632,0.311257,0.4062685,0.511347,1.00341946190647,1.00005510885395,15000,5000,20,500
"155",100,1000,50,0.4,0.39,0.97,32.6288,41.90455,52.5786,0.30624,0.4011855,0.496037,1.00426683383856,1.00011134618635,15000,5000,20,500
"156",100,1000,50,0.4,0.47,0.97,42.7646,52.88195,65.2147,0.381587,0.486443,0.578647,1.00229032817858,1.00028339879261,15000,5000,20,500
"157",100,1000,50,0.4,0.37,0.96,39.7524,50.0683,63.0881,0.289606,0.3825935,0.485092,1.001685198431,1.00014272974792,15000,5000,20,500
"158",100,1000,50,0.4,0.39,1,33.8048,42.8424,53.42,0.311014,0.4051045,0.507867,1.0022932390404,1.00212297183349,15000,5000,20,500
"159",100,1000,50,0.4,0.45,0.94,36.6396,45.9109,56.6966,0.372034,0.4673265,0.567847,1.00411402673094,1.00164000503598,15000,5000,20,500
"160",100,1000,50,0.4,0.44,0.97,44.8293,56.2756,70.7904,0.358921,0.4509675,0.547125,1.00025643818905,1.00220318302661,15000,5000,20,500
"161",100,1000,50,0.4,0.27,0.95,41.1738,55.2428,73.0851,0.205204,0.291528,0.385161,1.0014537276363,0.999337025609797,15000,5000,20,500
"162",100,1000,50,0.4,0.34,0.96,40.0089,49.98315,65.763,0.26205,0.3604745,0.448922,1.00095709337341,0.99926781867978,15000,5000,20,500
"163",100,1000,50,0.4,0.3,0.97,49.3128,63.8246,84.0091,0.225178,0.31609,0.413495,1.00003010853381,0.999816415062566,15000,5000,20,500
