"","N","LEN","DELTA","PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"133",1000,500,50,0.4,0.355,0.887,43.7525,49.30145,55.3673,0.362927,0.39506,0.430663,1.00031253175013,1.00084389614195,15000,5000,20,500
"134",1000,500,50,0.4,0.361,0.905,44.5802,50.3085,56.0739,0.369617,0.402086,0.435227,1.00235287630843,1.00096400062521,15000,5000,20,500
"135",1000,500,50,0.4,0.388,0.898,44.5973,50.50055,55.9914,0.402444,0.4334635,0.469871,1.00110961577282,1.00063172524995,15000,5000,20,500
"136",1000,500,50,0.4,0.394,0.903,40.6912,45.5936,51.0833,0.403022,0.4333185,0.468256,1.00309615643667,1.00198741054752,15000,5000,20,500
"137",1000,500,50,0.4,0.369,0.894,43.9406,49.4173,55.2664,0.376057,0.410562,0.442107,1.00210263471404,1.00022305983771,15000,5000,20,500
"138",1000,500,50,0.4,0.366,0.894,48.6011,54.5136,61.5703,0.374568,0.408726,0.442916,1.00154290658578,1.00141543266218,15000,5000,20,500
"139",1000,500,50,0.4,0.363,0.896,42.7251,47.8258,54.0459,0.370852,0.4027865,0.434982,1.00095438728442,1.00079640741393,15000,5000,20,500
"140",1000,500,50,0.4,0.365,0.905,42.924,47.92765,54.0946,0.374092,0.407447,0.44264,1.00225582987048,1.00080001658655,15000,5000,20,500
"141",1000,500,50,0.4,0.383,0.914,44.7527,50.0171,56.047,0.397877,0.4295995,0.462581,1.01099734707141,0.999818283120313,15000,5000,20,500
"142",1000,500,50,0.4,0.347,0.918,41.5334,47.0165,52.7238,0.352543,0.383999,0.414263,1.00148647630935,0.999127013054023,15000,5000,20,500
"143",1000,500,50,0.4,0.364,0.903,44.5114,50.7873,56.6301,0.370366,0.4038515,0.435078,1.00309139469042,0.999354150354545,15000,5000,20,500
"144",1000,500,50,0.4,0.333,0.901,44.6632,50.5363,56.5745,0.342462,0.3739775,0.408047,1.00018309023959,0.999865933797113,15000,5000,20,500
"145",1000,500,50,0.4,0.321,0.886,37.8113,43.17745,48.7999,0.317968,0.3519265,0.381939,1.00260071751974,1.00077916477336,15000,5000,20,500
"146",1000,500,50,0.4,0.355,0.909,42.1392,47.4007,53.0851,0.358416,0.391256,0.421461,1.0017487702447,1.00083999937419,15000,5000,20,500
"147",1000,500,50,0.4,0.349,0.887,48.0407,54.46735,61.2839,0.361656,0.3942645,0.429078,1.00419087787174,1.00079691352151,15000,5000,20,500
"148",1000,500,50,0.4,0.356,0.89,45.078,50.38005,56.7641,0.360703,0.395095,0.42768,1.00186545221683,1.00175241618784,15000,5000,20,500
"149",1000,500,50,0.4,0.37,0.898,49.9524,56.551,63.2118,0.383377,0.4198995,0.451989,0.999900818930626,1.00177963765269,15000,5000,20,500
"150",1000,500,50,0.4,0.339,0.893,43.1009,48.31085,54.9223,0.343617,0.3762235,0.407525,1.00108130585734,1.00113573012135,15000,5000,20,500
"151",100,1000,50,0.4,0.39,0.94,32.5439,45.13125,61.4503,0.318925,0.418334,0.516972,1.00140165494214,1.00023843740996,15000,5000,20,500
"152",100,1000,50,0.4,0.3,0.89,32.5447,49.43565,73.4734,0.236388,0.324015,0.420292,1.00204372960948,1.00001323368719,15000,5000,20,500
"153",100,1000,50,0.4,0.41,0.92,33.2404,45.51095,62.4113,0.338216,0.4357895,0.535001,1.00205650452947,1.00078265995516,15000,5000,20,500
"154",100,1000,50,0.4,0.3,0.94,50.5789,75.1936,111.082,0.238172,0.3248095,0.424672,1.00074443122959,0.999167788094361,15000,5000,20,500
