"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"111",500,500,0.4,234.969697340857,0.246,0.598,154.61,308.3885,620.373,0.354514,0.493985,0.833135,1.02969161396156,1.03379520605128,25000,5000,20,1000
"112",500,500,0.4,76.2459894851781,0.308,0.846,66.4975,82.8734,101.285,0.322398,0.371019,0.426233,1.0132207307615,0.999584312885498,15000,5000,20,500
"113",500,500,0.4,199.340358986519,0.246,0.61,186.842,351.769,652.266,0.354612,0.5325595,0.823786,1.0827123387229,1.08927450777928,55000,5000,20,2500
"114",500,500,0.4,153.972015904728,0.306,0.702,118.531,167.5035,226.735,0.374696,0.4501615,0.544841,1.0805005262766,1.05733450954721,25000,5000,20,1000
"115",500,500,0.4,188.317730212584,0.278,0.658,132.47,194.474,265.328,0.349672,0.436053,0.531803,1.02106009070705,1.01499446988997,25000,5000,20,1000
"116",500,500,0.4,27.0748772239313,0.362,0.936,23.1053,27.0483,31.2643,0.337031,0.386631,0.429459,1.00318715248833,1.00023801804896,15000,5000,20,500
"117",500,500,0.4,191.805797975976,0.208,0.64,120.384,174.473,238.313,0.252447,0.31135,0.382849,1.03835212941973,1.00848340170654,15000,5000,20,500
"118",500,500,0.4,38.963801539503,0.358,0.922,33.0444,38.90405,45.0734,0.342862,0.3912705,0.431588,0.999465682935807,1.00399670927543,15000,5000,20,500
"119",500,500,0.4,132.032550689764,0.326,0.788,112.136,143.881,180.567,0.389708,0.4559695,0.52603,1.00636233633212,1.00130300533424,15000,5000,20,500
"120",500,500,0.4,69.1084428480826,0.34,0.852,54.4921,65.1051,79.1541,0.344316,0.391342,0.440718,0.999432550471237,0.999584516083856,15000,5000,20,500
"121",500,500,0.4,274.026091990527,0.228,0.564,187.483,277.1565,385.664,0.322006,0.427634,0.538746,1.04763640549329,1.03781059405952,15000,5000,20,500
"122",500,500,0.4,230.246588902082,0.258,0.604,216.116,417.278,702.637,0.425585,0.626897,0.937633,1.01084193376368,1.00981733092965,25000,5000,20,1000
"123",500,500,0.4,55.6329261744395,0.416,0.888,43.3786,50.19825,58.3894,0.413262,0.464631,0.512125,1.00331620178448,1.00077956104542,15000,5000,20,500
"124",500,500,0.4,149.938791727182,0.274,0.698,126.216,167.349,217.341,0.333484,0.4011355,0.475812,1.02521218102186,1.01569766625326,15000,5000,20,500
"125",500,500,0.4,182.629897119477,0.274,0.678,183.537,277.405,427.651,0.393901,0.514188,0.694973,1.06817451306693,1.09172539615838,25000,5000,20,1000
"126",500,500,0.4,193.523925140034,0.234,0.628,175.306,260.1155,400.797,0.310689,0.4191675,0.562365,1.06797391627224,1.03608955950798,15000,5000,20,500
"127",500,500,0.4,104.028202111367,0.334,0.816,90.8907,111.5555,143.376,0.371726,0.42625,0.492099,1.01657579093058,1.00326211149639,15000,5000,20,500
"128",500,500,0.4,273.187719644047,0.22,0.53,233.107,425.2825,796.303,0.347957,0.5370565,0.861561,1.04246235142463,1.03823515902479,35000,5000,20,1500
"129",500,500,0.4,101.871641844045,0.308,0.794,68.0592,85.5334,101.435,0.322955,0.3782285,0.43003,1.00089759540163,1.002085587508,15000,5000,20,500
"130",500,500,0.4,77.9138852283359,0.334,0.854,67.3103,82.05705,99.7806,0.350363,0.401778,0.45273,1.00463664612461,1.00042963861738,15000,5000,20,500
"131",500,500,0.4,96.9614285044372,0.338,0.842,79.4812,99.4311,122.614,0.369459,0.421253,0.480157,1.00286143429213,1.00133423250358,15000,5000,20,500
"132",500,500,0.4,81.0737440222874,0.33,0.852,66.3027,82.74875,100.1,0.349473,0.396326,0.455467,1.0172070150039,1.00190955791687,15000,5000,20,500
"133",500,500,0.4,233.618430262432,0.242,0.59,151.593,228.1365,335.895,0.319429,0.4092875,0.531223,1.08912343371873,1.07936566799384,25000,5000,20,1000
"134",500,500,0.4,255.993925984949,0.256,0.56,165.42,307.1015,681.891,0.355492,0.5079535,0.904082,1.04756426420921,1.06625300802829,65000,5000,20,3000
"135",500,500,0.4,105.783864541445,0.332,0.778,105.74,135.0435,189.566,0.392997,0.460287,0.543474,1.06248340916235,1.03925039744325,15000,5000,20,500
"136",500,500,0.4,272.82916280441,0.216,0.542,197.048,311.1135,442.665,0.317074,0.433485,0.560407,1.06983816116998,1.04839561901075,15000,5000,20,500
"137",500,500,0.4,54.5216053025797,0.356,0.896,48.5733,57.8547,67.4668,0.355004,0.400028,0.449485,1.00007430774804,1.00341724490846,15000,5000,20,500
"138",500,500,0.4,175.93167952029,0.26,0.68,170.635,286.6005,489.341,0.362259,0.5016775,0.710698,1.06106686136811,1.04620048235486,25000,5000,20,1000
"139",500,500,0.4,59.7076415317133,0.354,0.854,48.31,57.136,68.531,0.357252,0.403341,0.452736,0.999479301601899,0.999572448213123,15000,5000,20,500
"140",500,500,0.4,299.337792685255,0.212,0.49,225.799,455.917,826.864,0.336908,0.5430025,0.867437,1.07750776344907,1.08864781141485,115000,5000,20,5500
"141",500,500,0.4,178.979464243166,0.282,0.656,128.14,172.305,223.138,0.34606,0.420584,0.494397,1.02051635843865,1.0158976345114,15000,5000,20,500
"142",500,500,0.4,160.78953352524,0.272,0.702,124.709,187.9075,260.598,0.343387,0.417929,0.522578,1.07051913167521,1.03307992330017,15000,5000,20,500
"143",500,500,0.4,85.2314396458678,0.334,0.828,56.6709,68.6342,82.43,0.341656,0.3829045,0.432007,1.00251333189678,0.999499921145695,15000,5000,20,500
"144",500,500,0.4,163.118919781409,0.286,0.698,103.958,132.9455,171.197,0.32754,0.390736,0.455191,1.04175719643413,1.01860313704103,15000,5000,20,500
