"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"216",1000,500,0.4,46.3036115840077,0.354,0.904,39.4064,44.18575,49.5009,1.00204651958307,15000,5000,20,500
"217",1000,500,0.4,40.398718083743,0.372,0.917,37.1199,41.1598,45.7007,0.999904000244276,15000,5000,20,500
"218",1000,500,0.4,250.348925036378,0.245,0.581,170.65,224.3115,309.007,1.000298856505,15000,5000,20,500
"219",1000,500,0.4,90.9436651994474,0.325,0.808,77.3921,90.1754,104.436,1.00542688921842,15000,5000,20,500
"220",1000,500,0.4,94.3702965183184,0.334,0.811,79.7539,94.75555,108.265,1.00003962718189,15000,5000,20,500
"221",1000,500,0.4,277.738700259943,0.22,0.551,173.564,236.2045,330.058,0.999677328944359,15000,5000,20,500
"222",1000,500,0.4,99.6467356523499,0.313,0.804,94.0258,110.172,129.919,1.00061455186414,15000,5000,20,500
"223",1000,500,0.4,179.399915521499,0.267,0.681,131.137,163.087,205.331,1.00096430335236,15000,5000,20,500
"224",1000,500,0.4,73.9096738304943,0.32,0.848,67.0319,77.698,88.2669,0.999550200753597,15000,5000,20,500
"225",1000,500,0.4,24.3346986197866,0.397,0.949,20.3878,22.6666,25.1361,1.00034332439617,15000,5000,20,500
"226",1000,500,0.4,133.080521237571,0.293,0.756,98.593,120.282,142.339,1.00046132682918,15000,5000,20,500
"227",1000,500,0.4,282.438336210325,0.198,0.548,243.823,481.8295,1077.23,1.00384280372028,15000,5000,20,500
"228",1000,500,0.4,36.8812969652936,0.353,0.927,34.7062,38.78135,43.3895,1.0014170660247,15000,5000,20,500
"229",1000,500,0.4,130.982556135859,0.323,0.758,115.353,141.415,168.672,1.00000866004096,15000,5000,20,500
"230",1000,500,0.4,185.602555538062,0.261,0.637,157.574,207.0405,267.609,0.99982487245629,15000,5000,20,500
"231",1000,500,0.4,158.826982844621,0.304,0.723,127.819,158.965,191.733,0.999166004140227,15000,5000,20,500
"232",1000,500,0.4,49.1769691277295,0.385,0.907,41.9607,46.91845,52.9019,1.00336997275361,15000,5000,20,500
"233",1000,500,0.4,277.158290583175,0.205,0.53,164.48,233.263,321.02,1.00590080984993,15000,5000,20,500
"234",1000,500,0.4,244.062718199566,0.218,0.564,242.498,494.897,1212.53,1.00092016691408,15000,5000,20,500
